ID,datetime,frm,too,subject,full_text
89539,2021-09-27 00:30:20,"[{'name': '0435a5f14f29b03f', 'email': 'f7a04328ba5fac20'}]","[{'name': 'fffdaa3ce0d1c7f0', 'email': '0016b781aa9a48c3'}]","Veeam R&D Forums Digest for afshinmbi [Sep 20 - Sep 26, 2021]","   Veeam R&D Forums Digest  September 20 - September 26, 2021       THE WORD FROM GOSTEV    We've just completedall the work on our 11a platform update and are planning to start its EarlyAvailability phase this week. Usually at this stage we used to distributethe bits through our Customer Support, however we were never happy with thenumber of downloads this approach yielded. As a result, this time we'regoing to try something new – to share download links publicly on the R&DForums. So, if you'd like to be an early adopter, keep an eye on therespective products' forums for the bits! As a reminder, this release ismostly about new platforms and new platform versions support. But there'salso a few new features and lots of smaller enhancements and bug fixes peryour feedback on V11. The KB article will contain the full release notes soI will not waste space with details here.  VMware vSphere Users: just to ensure this did not fly under anyone's radarlast week, you have some urgent vCenter Server patching to do regardless ofwhat vSphere version you are running due to a number of criticalvulnerabilities which are already being exploited in the wild. Here's agreat FAQ from VMware on this > VMSA-2021-0020: Questions & Answers  Continuing on the vSphere topic, I wanted to discuss full VM restoreperformance next. Fairly often we have customers opening support casesbecause they expected extremely fast restore performance with their newlyacquired super-duper SAN but are not getting good numbers. It is especiallyshocking and frustrating to those who have bought an all-flash array (AFA)and expected everything to start flying, which it did not. So what exactlyis causing this problem? Almost all VMs are thin provisioned these days, sowhen we write to a disk during restore, ESXi has to write zeros before itcould write our data. Most modern SAN include hardware acceleration (akaVAAI) for zeroing out disk regions, which greatly reduces the time andnetwork load when creating VMs and formatting VMDKs. It also helps restoreperformance when you are bandwidth or IOPS limited, as without it ESXi hasto write zeros the traditional way, which effectively doubles the amount ofwrites. However, this capability relies on hardware WRITE_SAME command,which is a serialized command meaning most drives/controllers block allother IO during this call, in turn causing some of these systems to belocked at a specific speed.  In fact, it's very similar to the behavior of TRIM: if you issue a massiveTRIM command it's like the entire drive will stop to perform and all otherI/O just waits.  Similarly, the controller has to complete the WRITE_SAMEcommand before it can go back to handling I/O. Now, because image-basedrestores are done ""per-block"", that zeroing out adds a good bit of latencyto each request. While it's probably just a few milliseconds, at 1MB blockseven 1ms latency limits us to only 1000 writes per second, or a theoreticalmaximum of 1000 MB/s. And with 2-3ms, you go down to 500MB/s or 333MB/srespectively. But when writing to super-fast storage like AFA that haswrite response times in microseconds, adding milliseconds of latency toeach request really impacts the raw performance these systems are capableof delivering. However, the good news is that this feature can be disabledduring run time, so we just recommend such customers to turn it off beforerestore and then back on. Here's the VMware KB article on how to do this > Disabling Hardware Accelerated Init (WRITESAME) in ESXi  Last topic for today is on the opposite side of enterprise backup storagespectrum: rotated drives! However, this can affect anyone in their""consumer"" life too so don't be quick to frown, especially because it is avery counter-intuitive topic! What are the first things that come to yourmind when thinking about using SSD drives as a backup media? Based on thecommon sense alone, most will probably think the following: - SSDs don't like write cycles but these will be rare because they willspend most of the time in storage – meaning backup is an ideal workload forthem! - SSDs are a way better rotated backup media because there have nomechanical parts, meaning they will withstand vibration or accidentaldrops. Not to mention SSDs are so much more convenient to take along withyou off-site because they are so small and light. You can slip a few SSDsjust about anywhere and hardly even notice having them... but you can't saythe same about even a single HDD!  But it turns out that while all of those statements are correct, overallsituation is not so bright for SSDs due to some of their otherpeculiarities: - Unlike HDDs, powered off SSDs are just bad at retaining data, making themthe worst candidate as a long-term backup archival media. Simply put, SSDsare designed to be powered on most of the time! - While mechanically infinitely more reliable, travelling SSDs are in fargreater risk than travelling HDDs because you can lose your backups byaccidentally leaving SSD in a car over a hot summer weekend!  As you can see, while there's use for cheap SSDs as rotated backup media,it is fairly limited. It should serve you well if you do rotate and rewriteeach SSD with new backups every few months, while storing them in a ""cooldry place"" for the rest of the time (a safe should be perfect). But younever want to use SSDs for storing your yearly backups, or as an off-sitebackup media in warmer climates. And considering they still cost a fewtimes more per TB these days, I personally would think twice before goingthis route.       BEST POST OF THE WEEK    Re:Phasing Out our Socket-based Licensing [BY: Gostev • LIKED: 5times] OK so it's been almost half a yearsince my original newsletter so I thought I provide an update on thecurrent status.  All in all, it is looking like Veeam will in the end go ahead and stopselling Socket-based licenses sometime next year, just as I expected. Thismakes sense from the business perspective as these licenses cannot be usedfor the majority of workloads Veeam can protect these days. Since I likeanalogies: there's no point to keep selling gas that allows cars to driveon certain types of roads only.  Having said that, you still have theoption to keep your existing Socket licenses.  The exact cut-off date is still to be defined, but as always we will makethe announcement well in advance (in the coming weeks), so everyone whoneeds to stock up with more Sockets while they are still available willhave plenty of time and the opportunity to use either 2021 or 2022budget.  Considering all feedback received in this topic so far, here's what we'reinclined to do as a part of this transition:  1. We will allow existing customers to stay with Socket-based licenses theyalready own if this is what they prefer, and keep renewing Socketsmaintenance. In other words, from technical perspective we have no plans todiscontinue Socket license support in future product versions.  2. No customer will be forced to migrate from Sockets to VUL. The upgradesto VUL will be driven using ""carrot"" (incentives) versus ""stick"" (end oflife) approach. The Pricing team will continue to tweak the migrationpolicy by learning from your feedback on previous offers.  3. We will keep VUL available on both Subscription and Perpetual contracts,because in some markets customers only have the option to purchase onperpetual contracts.  Any comments or thoughts? Are there any unaddressed concerns we havemissed, FAQs we have to cover, etc.  Appreciate your feedback!      TOP CONTENT    Automaticallyadd new Hyper-V host to VEEAM [VIEWS: 220 • REPLIES: 10] Hi, We're trying to automate the deployment for Hyper-V as muchas possible. We now have one last manual step where VEEAM sees the new hostin SCVMM and we need to configure the host to be used by VEEAM. Is there away to automate this last step? And would it be best to do this byinstalling an MSI on the host and connecting to VEEAM, or maybe usepowershell to talk to the VEEAM Server and force installation? more vCenter7.0.2.00400 / 500 [VIEWS: 218 • REPLIES: 4] Hi Guys, For security reason vMware has released a new patchvCenter 7.0.2.00400 / 500. i was curious if VEEAM support thoseversion. more Is it possible toadd more services to one Alarm on an easy way. [VIEWS: 199 • REPLIES:9] Hi , When i choose an VM , and the switch toServices i see all Services from this Windows VM . Now i can chooseone Service and can with right Mouse configure an Alarm , but only for thisService . more Migrate to aanother object storage repo [VIEWS: 180 • REPLIES: 9] Hi there, we have some Azure Blob Container which we use toextend our vbo365 repos with. I want to migrate one of those repos. more VBO serverplacement [VIEWS: 180 • REPLIES: 12] Hello, I have customer who need to backup his O365. I neverdid it but it doesn't appear to be so complicated. I would like to knowwhat is the best practice about placement. Is it better to install it onthe VBR server or better to create new VM and dedicate it to VBO ? more       YOUR CONTENT    None of topics youhave contributed to have been updated this week.        UNSUBSCRIBEOR UPDATE MY E-MAIL PREFERENCES   WEEKLY VEEAM R&D FORUMS DIGEST   "
89540,2021-09-27 09:01:23,"[{'name': '485539b38763bc19', 'email': '6c2314bc0cae429c'}]","[{'name': '135603214332dc55', 'email': '8bc4a2dafb68197b'}, {'name': '70e12d0ceff37ef9', 'email': '8c7a0906011fa292'}, {'name': 'b2a18ceac64beddb', 'email': '38c8bee048152a48'}, {'name': 'b647de2a5fe993d0', 'email': '52ceb95a087b2f59'}, {'name': 'b647de2a5fe993d0', 'email': 'c1554d31ab8a580e'}, {'name': 'b647de2a5fe993d0', 'email': 'c82aedb4245da420'}, {'name': 'b647de2a5fe993d0', 'email': '39603ad4c272634f'}, {'name': 'b647de2a5fe993d0', 'email': 'cc324dc6ac543c53'}, {'name': 'b647de2a5fe993d0', 'email': '71ff90e100f59739'}, {'name': 'b647de2a5fe993d0', 'email': 'bb6224ca9ca89e60'}, {'name': 'b647de2a5fe993d0', 'email': '4f68ea48b45fb441'}, {'name': 'b647de2a5fe993d0', 'email': '48c924be79f8ae39'}, {'name': 'b647de2a5fe993d0', 'email': 'd28c16b7f920e978'}, {'name': 'b647de2a5fe993d0', 'email': '70365d85e335e6bc'}, {'name': 'b647de2a5fe993d0', 'email': '7b654cca8583388d'}, {'name': 'b647de2a5fe993d0', 'email': '7a219648855a67b8'}, {'name': 'b647de2a5fe993d0', 'email': '7dd6de5d64ae097a'}, {'name': 'b647de2a5fe993d0', 'email': '6a9a9fd2be2d8ac4'}, {'name': 'b647de2a5fe993d0', 'email': '6d0982b18b208977'}, {'name': 'b647de2a5fe993d0', 'email': 'bb3072d65d031974'}, {'name': 'b647de2a5fe993d0', 'email': '00297aa21bee5ec2'}, {'name': 'b647de2a5fe993d0', 'email': '173b73d6c17fc2dc'}, {'name': 'b647de2a5fe993d0', 'email': 'e4ee1b19a5421a97'}, {'name': 'b647de2a5fe993d0', 'email': 'ccc3aaea31d7aa63'}, {'name': 'b647de2a5fe993d0', 'email': 'e55672e0ac348c55'}, {'name': 'b647de2a5fe993d0', 'email': '5980c728ba310b8e'}, {'name': 'b647de2a5fe993d0', 'email': '53573e17467fa178'}, {'name': 'b647de2a5fe993d0', 'email': 'c10c03f49b2eddc9'}, {'name': 'b647de2a5fe993d0', 'email': '889df2439034aac4'}, {'name': '14b34f84fc17115d', 'email': '3214b4455a6cea61'}]",Weekly information.Еженедельная информация_27.09.2021,"С уважением, Морозов Вадим ВикторовичГлавный специалист-начальник смены КЦАО «Концерн Росэнергоатом»Т.№8phone_no_81fcf9f4a3f31d88, (703)2925        С уважением, Морозов Вадим Викторович  Главный специалист-начальник смены КЦ  АО «Концерн Росэнергоатом»  Т.№8phone_no_81fcf9f4a3f31d88, (703)2925       "
